Date,^TASI.SR
2025-02-26,12232.650390625
2025-02-27,12111.900390625
2025-03-02,12035.4501953125
2025-03-03,12123.8095703125
2025-03-04,11931.7001953125
2025-03-05,11898.8603515625
2025-03-06,11811.1103515625
2025-03-09,11836.51953125
2025-03-10,11745.6298828125
2025-03-11,11717.9599609375
2025-03-12,11704.9296875
2025-03-13,11725.8798828125
2025-03-16,11853.7802734375
2025-03-17,11883.0400390625
2025-03-18,11792.400390625
2025-03-19,11709.4296875
2025-03-20,11760.3203125
2025-03-23,11694.76953125
2025-03-24,11778.080078125
2025-03-25,11706.2099609375
2025-03-26,11970.1904296875
2025-03-27,12025.0498046875
2025-04-03,11882.650390625
2025-04-06,11077.1904296875
2025-04-07,11194.01953125
2025-04-08,11302.759765625
2025-04-09,11096.650390625
2025-04-10,11502.5400390625
2025-04-13,11592.51953125
2025-04-14,11597.349609375
2025-04-15,11616.8095703125
2025-04-16,11634.419921875
2025-04-17,11552.98046875
2025-04-20,11626.599609375
2025-04-21,11548.66015625
2025-04-22,11586.400390625
2025-04-23,11681.1103515625
2025-04-24,11764.3896484375
2025-04-27,11756.2099609375
2025-04-28,11784.6298828125
2025-04-29,11746.2001953125
2025-04-30,11671.580078125
2025-05-01,11543.669921875
2025-05-04,11411.5
2025-05-05,11422.9501953125
2025-05-06,11434.080078125
2025-05-07,11398.740234375
2025-05-08,11364.1103515625
2025-05-11,11346.58984375
2025-05-12,11488.599609375
2025-05-13,11532.26953125
2025-05-14,11532.0
2025-05-15,11485.0498046875
2025-05-18,11438.9404296875
2025-05-19,11405.2802734375
2025-05-20,11438.1796875
2025-05-21,11303.6796875
2025-05-22,11188.740234375
2025-05-25,10999.7802734375
2025-05-26,11075.9599609375
2025-05-27,10925.1796875
2025-05-28,11052.759765625
2025-05-29,10990.41015625
2025-06-01,10825.26953125
2025-06-02,10850.08984375
2025-06-03,10832.4296875
2025-06-04,11004.5302734375
2025-06-11,11005.01953125
2025-06-12,10840.9404296875
2025-06-15,10731.58984375
2025-06-16,10867.0400390625
2025-06-17,10713.8203125
2025-06-18,10591.1298828125
2025-06-19,10610.7099609375
2025-06-22,10574.26953125
2025-06-23,10710.240234375
2025-06-24,10964.2802734375
2025-06-25,10973.98046875
2025-06-26,11068.26953125
2025-06-29,11202.6396484375
2025-06-30,11163.9599609375
2025-07-01,11121.599609375
2025-07-02,11129.6396484375
2025-07-03,11244.4501953125
2025-07-06,11315.73046875
2025-07-07,11345.4599609375
2025-07-08,11294.0703125
2025-07-09,11277.73046875
2025-07-10,11276.91015625
2025-07-14,11213.58984375
2025-07-15,11095.41015625
2025-07-16,11038.740234375
2025-07-17,11006.98046875
2025-07-20,10964.7099609375
2025-07-21,10981.169921875
2025-07-22,10843.2001953125
2025-07-23,10983.9296875
2025-07-24,10945.7998046875
2025-07-27,10956.2197265625
2025-07-28,10885.3203125
2025-07-29,10823.91015625
2025-07-30,10914.3798828125
2025-07-31,10920.26953125
2025-08-03,10833.099609375
2025-08-04,10839.4501953125
2025-08-05,10921.849609375
2025-08-06,10946.740234375
2025-08-07,10930.2998046875
2025-08-10,10899.1103515625
2025-08-11,10791.6396484375
2025-08-12,10769.66015625
2025-08-13,10763.4501953125
2025-08-14,10833.58984375
2025-08-17,10897.3896484375
2025-08-18,10885.580078125
2025-08-19,10881.7099609375
2025-08-20,10878.0703125
2025-08-21,10866.830078125
2025-08-24,10904.5302734375
2025-08-25,10898.0400390625
2025-08-26,10874.740234375
2025-08-27,10808.4501953125
2025-08-28,10732.3095703125
2025-08-31,10696.8896484375
2025-09-01,10670.5595703125
2025-09-02,10667.4404296875
2025-09-03,10619.099609375
2025-09-04,10655.6103515625
2025-09-07,10593.9697265625
2025-09-08,10497.0498046875
2025-09-09,10529.169921875
2025-09-10,10498.0400390625
2025-09-11,10453.0595703125
2025-09-14,10433.98046875
2025-09-15,10427.0595703125
2025-09-16,10518.73046875
2025-09-17,10650.3896484375
2025-09-18,10780.6904296875
2025-09-21,10808.6796875
2025-09-22,10876.419921875
2025-09-24,11426.4501953125
2025-09-25,11308.1103515625
2025-09-28,11229.5400390625
2025-09-29,11434.1796875
2025-09-30,11502.9697265625
2025-10-01,11529.3603515625
2025-10-02,11495.7197265625
2025-10-06,11605.2001953125
2025-10-07,11583.23046875
2025-10-08,11559.26953125
2025-10-09,11583.3095703125
2025-10-12,11494.4501953125
2025-10-13,11591.6904296875
2025-10-14,11596.0
2025-10-15,11682.23046875
2025-10-16,11696.580078125
2025-10-19,11690.6103515625
2025-10-20,11644.5498046875
2025-10-21,11545.7998046875
2025-10-22,11585.900390625
2025-10-23,11611.6796875
2025-10-26,11593.4501953125
2025-10-27,11619.8203125
2025-10-28,11674.0595703125
2025-10-29,11752.080078125
2025-10-30,11655.849609375
2025-11-02,11536.2900390625
2025-11-03,11483.5703125
2025-11-04,11398.2900390625
2025-11-05,11256.740234375
2025-11-06,11302.349609375
2025-11-09,11244.3603515625
2025-11-10,11243.7998046875
2025-11-11,11270.4501953125
2025-11-12,11254.8798828125
2025-11-13,11177.66015625
2025-11-17,11051.1298828125
2025-11-18,11098.7998046875
2025-11-19,10998.669921875
2025-11-20,11010.6298828125
2025-11-23,11010.8095703125
2025-11-24,10851.759765625
2025-11-25,10686.6201171875
2025-11-26,10635.3798828125
2025-11-27,10640.650390625
2025-11-30,10590.8798828125
2025-12-01,10543.0
2025-12-02,10536.2802734375
2025-12-03,10574.7900390625
2025-12-04,10626.150390625
2025-12-07,10631.25
2025-12-08,10625.5
2025-12-09,10699.7900390625
2025-12-10,10726.16015625
2025-12-11,10715.98046875
2025-12-14,10588.830078125
2025-12-15,10590.169921875
2025-12-16,10452.91015625
2025-12-17,10414.0595703125
2025-12-18,10450.26953125
2025-12-21,10484.58984375
2025-12-22,10552.259765625
2025-12-23,10595.849609375
2025-12-24,10540.7197265625
2025-12-25,10526.08984375
2025-12-28,10416.650390625
2025-12-29,10489.650390625
2025-12-30,10381.509765625
2025-12-31,10490.6904296875
2026-01-01,10549.080078125
2026-01-04,10364.0302734375
2026-01-05,10325.2001953125
2026-01-06,10290.759765625
2026-01-07,10455.1396484375
2026-01-08,10473.23046875
2026-01-11,10609.759765625
2026-01-12,10745.4501953125
2026-01-13,10893.6298828125
2026-01-14,10945.150390625
2026-01-15,10818.3203125
2026-01-18,10912.1796875
2026-01-19,10917.0400390625
2026-01-20,10912.4296875
2026-01-21,10948.2802734375
2026-01-22,11133.580078125
2026-01-25,11268.48046875
2026-01-26,11270.6201171875
2026-01-27,11381.830078125
2026-01-28,11458.1103515625
2026-01-29,11382.080078125
2026-02-01,11167.48046875
2026-02-02,11321.08984375
2026-02-03,11328.51953125
2026-02-04,11341.26953125
2026-02-05,11188.73046875
2026-02-08,11216.9296875
2026-02-09,11195.4501953125
2026-02-10,11213.9697265625
2026-02-11,11167.5400390625
2026-02-12,11251.8095703125
2026-02-15,11228.6396484375
2026-02-16,11183.849609375
2026-02-17,11098.0595703125
2026-02-18,11155.4501953125
2026-02-19,10947.25
2026-02-23,10984.0595703125
2026-02-24,10906.4404296875
2026-02-25,10847.9296875
